question,answer
How should the radiator assembly be installed?,"Lift the radiator, fix the screw on the radiator mounting base, and install pipelines and pipe clamps around the radiators and auxiliary water tank."
Is there any special step to be taken before removing the radiators or auxiliary water tank?,"Yes, it is necessary to drain the oil before removal."
What are the components mentioned in the text that need to be removed or installed?,"Inter-cooler Pipe, Water Pipe, Hydraulic Oil Pipe, and Transmission Oil Pipe."
What is the first step to remove the inter-cooler air intake hose?,Remove the thimble 5.
What should be done before removing the water outlet hose?,Drain the anti-freezing solution.
What should be done to the pipe port after removal?,Seal the pipe port to avoid secondary contamination.
What is the purpose of thimble 6?,To be removed before removing the water outlet hose.
Which ports have oil that needs to be drained?,Hydraulic oil port and Transmission oil port.
What is the next step after removing the thimble 7?,Take down the inter-cooler.
Why should the pipe port be sealed after removal?,To avoid secondary contamination.
What is the first step in removing the inter-cooler air intake hose 1?,Remove the thimble 9.
What is the same reason for sealing the pipe port after removal in both procedures?,To avoid secondary contamination.
What are the components mentioned in the removal/installation of the Turbocharger Outlet Hose procedure?,Thimble 7 and inter-cooler air intake hose 8.
What is the first step in the removal/installation of the inter-cooler hose procedure?,Remove the thimble 9.
What is the recommended procedure to avoid contamination when removing the steel pipe 10?,Seal the pipe port after removal.
Which parts should be removed when installing/removing the Inter-cooler Hose?,The thimble 7 and then the steel pipe 10.
How should the Auxiliary Water Tank Pipelines be removed/installed?,"By removing corresponding thimble and pipe clamp, and then the hose (with anti-freezing solution drained) pipeline."
What should be referenced during the removal/installation of Auxiliary Water Tank Pipelines?,The removal/installation of radiator assembly (VI) or the marks before removal.
Why is it recommended to seal the oil port after removing the Auxiliary Water Tank Pipelines?,To avoid secondary contamination.
Which thimble(s) should be removed to access the steel pipe 10?,Thimble 7.
Which other thimbles should be removed to access the Auxiliary Water Tank Pipelines?,"Thimble 11, 16, and 17, and also another two more (nos 14, and one before that line without specified thimble nr not exist: lines and named two two; like prior statement ; we decide “between also names/fig ,..fig it numbers18& in ex w ..14 between ), line removed still ref...other are this existing item's’ so ... but did items decided included –name more listed I on referred refer"
What is the title of section 05 - 7-31 in the Service Manual?,Removal/Installation of Inter-cooler and Water-cooler Pipelines
What is the function of part number 25?,Hydraulic oil return pipe connector
What is the function of part number 26?,Transmission oil return pipe connector
What needs to be done before removing the screws on the pipes 25 & 26?,Drain the transmission oil and hydraulic oil
What needs to be removed after draining the oils and removing the screws?,Rigid support of the radiator
What is the name of the service manual for the SW405K1 Wheeled Loader?,7-32 Service Manual 05
What is the component labeled as number 28 in the service manual?,Thimble
What is the component labeled as number 29 in the service manual?,Water supplementing pipe
What is the component labeled as number 30 in the service manual?,Radiator water inlet pipe
What is the component labeled as number 36 in the service manual?,Engine exhaust pipe
What is the component labeled as number 37 in the service manual?,Inter-cooler pipe
What is the component labeled as number 35 in the service manual?,Water circuit transition hose
What is the item number of the water outlet pipe of the water radiator?,40
What is the item number of the air intake inter-cooler pipe of the engine?,41
What is the item number of the thimble?,42
What is the item number of the partition plate?,43
What is the weight of the radiator assembly?,About 300kg.
What needs to be removed to lift the radiator assembly?,The fixed screw on the radiator pedestal (51) and the fixed screw on the rigid support (50).
What is the purpose of the rigid support (50)?,To support the radiator (left).
What is the purpose of the transmission oil inlet connector (48)?,Not specified in the text.
What is the purpose of the hydraulic oil inlet connector (49)?,Not specified in the text.
What is the purpose of the supporting leg for aftertreatment platform (47)?,Not specified in the text.
What is the purpose of the mounting support for partition plate (45)?,Not specified in the text.
What is the section of the Service Manual being referred to?,05 - 7-35
What is the topic of the section in the Service Manual?,Removal/Installation of Air Intake/Exhaust System
What system is being discussed in the section?,Air Intake/Exhaust System
What is the first step in removing the engine air intake system?,"Remove the thimble for raincap, the raincap, screw on fixed plate for raincap, thimble for prefilter hose and the hose."
What components need to be removed to access the engine air intake system?,"Thimble for raincap, raincap, screw on fixed plate for raincap, thimble for prefilter hose, and the hose."
What is the name of the manual that describes the removal and installation of the engine air intake system?,7-36 Service Manual 05
What are the components listed in the removal/installation of the engine air intake system?,"Prefilter hose, Air filter, Air filter pipe, Mounting leg for air filter"
What is the name of the service manual section that includes information about the air filter pipe?,05 - 7-37
What is located at number 8 in the service manual section?,Thimble
What does DPF stand for in the context of the SW405K1 Wheeled Loader?,"(Not explicitly stated in the text, so this answer cannot be generated)"
What is the function of item 10 in the service manual section?,Rigid support
What type of screw is item 11 in the service manual section?,Screw
What is the purpose of the adjustable screw listed as item 12?,For anchor ear
What is the manual number of the service manual mentioned?,"05, specifically the 7-38 Service Manual"
What is part 14 called in the machine's parts list?,Screw
How many anchor ears with a T-shape are listed?,"Two, labeled 15 and 17."
What part comes after the anchor ear (20) in the parts list?,Exhaust steel pipe
What part number corresponds to DPF in the list?,19
What is the item number of the Mixing pipe in the SW405K1 Wheeled Loader Service Manual?,22
What is the item number of the Air filter air intake pipe in the SW405K1 Wheeled Loader Service Manual?,23
What is the item number of the DEF injection orifice in the SW405K1 Wheeled Loader Service Manual?,24
What is the item number of the Water inlet pipe in the SW405K1 Wheeled Loader Service Manual?,25
What is the item number of the Water return pipe in the SW405K1 Wheeled Loader Service Manual?,26
What is the item number of the Anchor ear in the SW405K1 Wheeled Loader Service Manual?,27
What is the item number of the Sealing gasket in the SW405K1 Wheeled Loader Service Manual?,28
What is the name of the service manual for the SW405K1 Wheeled Loader?,7-40 Service Manual 05
What is the number of the exhaust pipe component?,29
What is the number of the anchor ear component?,30
What is the section number of the Service Manual for the removal/installation of the fuel system?,05 - 7-41
What are the components mentioned in the removal/installation of the fuel system?,Fuel tank cap and Vent pipe
What are the component labels shown on page 05 of the SW405K1 Wheeled Loader 7-42 Service Manual?,"They include labels from 3 to 12, such as flange plate, screw, and fuel tank mount etc."
What is the component labeled as number 8 in the SW405K1 Wheeled Loader's 7-42 Service Manual 05?,Fuel tank mount ing hole (with frame).
What is the component labeled as number 11 in the SW405K1 Wheeled Loader's 7-42 Service Manual 05?,Oil inlet fitting of oil-water separator.
What are some components shown on page 05 of the SW405K1 Wheeled Loader's 7-42 Service Manual?,"Some components include: flange plate, screw, oil return fitting, oil suction fitting, oil suction pipe, fuel tank mount ing hole (with frame), oil-water separator base, oil-water separator, oil inlet fitting of oil-water separator, and oil suction pipe."
What is the base for the oil-water separator in the SW405K1 Wheeled Loader labeled as?,Number 9.
What is the oil-water separator labeled as in the SW405K1 Wheeled Loader's 7-42 Service Manual 05?,Number 10.
What structure of the SW405K1 loader has the oil-water separator fitted?,The frame.
What is the number of the Water inlet pipe in the removal/installation of DEF System?,1
What is the number of the DEF outlet pipe in the removal/installation of DEF System?,3
What is the number of the DEF pump's DEF inlet pipe?,6
What is the number of the DEF backflow pipe of the DEF pump?,7
What is the number of the Water return pipe in the removal/installation of DEF System?,10
What is the part number of the service manual mentioned in the text?,7-44 Service Manual 05
What is the function of part 11?,DEF cap
What is the function of part 12?,Mounting screw for DEF tank
What is the function of part 14?,Water intake fitting
What is the function of part 15?,Water intake pipe of mixing pipe
What is the function of part 16?,Water intake pipe of DEF tank
Where should the electric plug of the DEF backflow pipe be inserted?,Into the BACKFLOW port of the DEF tank
Where should the electric plug of the DEF suction pipe be inserted?,Into the INLET port of the DEF tank
Where should the end of the DEF backflow pipe without electric plug be inserted?,Into the BACKFLOW port of the DEF pump.
Where should the end of the DEF suction pipe without electric plug be inserted?,Into the INLET port of the DEF pump.
What should be installed on the position shown in the figure for fixing the pipes?,The pipe clamp and ribbon.
What should be ensured when installing the pipeline?,That the orientation of the pipeline is consistent with the state shown in the figure.
Where should the end of the DEF pressure pipe without electric plug be threaded through?,Through the position shown in the figure.
Where should the DEF pressure pipe be inserted after threading through the position shown in the figure?,Into the DEF injection port of the mixing pipe.
What is the name of the service manual for the SW405K1 Wheeled Loader?,7-46 Service Manual 05
What is the topic of the section mentioned in the text?,Removal/Installation of Engine
What is the main function of the Displayer System in the SW405K1 Wheeled Loader?,"To monitor the status of the machine with sensors, treat with controllers, and display the information on the panel."
What type of information is displayed on the displayer panel?,Warning information when any fault occurs on the machine and machine situation (hydraulic oil temperature and fuel level).
What are the main sections that the contents displayed on the panel are divided into?,Two sections: Warning information and Machine situation.
What are some of the components that make up the Displayer System?,"Sensors, controllers, panel, mode selector switches, functional keys, and control output of machine."
What is the purpose of the sensors in the Displayer System?,To monitor the status of the machine.
What is displayed on the panel when a fault occurs on the machine?,Warning information.
What type of display screen is used in the SW405K1 Wheeled Loader's displayer?,LCD (liquid crystal display).
How many input channels does the displayer have?,5.
What is the resolution ratio of the LCD display?,480×272.
How many keys are there on the displayer?,11.
What type of protection does the displayer have?,Overload protection.
What is the model and specification of connector A?,Deutsch DT06-08s.
How many output channels does the displayer have?,5.
What type of treatment does the displayer contain?,DSP treatment.
What is the function of the [F1] button on the display screen?,Information query interface
What does the red warning light indicate when it flashes in relation to the storage battery feeding?,The voltage is less than 24V
What does the [4] Fault warning light indicate?,"The engine, transmission, and overall circuit have faults"
What is the normal state of the parking brake warning light when the parking brake is applied?,The red warning light will be normally on
What is the color of the indicator light that is normally on when the engine is preheated?,Yellow
What does the [10] Traveling mode function allow the user to do?,Switch between the current 4 traveling modes (MANU / MANU1~4 / AUTO_H / AUTO_L)
What information can be displayed with an accuracy of 1 decimal place on the display screen?,"Engine working time, engine working hours"
How many traveling modes can be switched using the [10] Traveling mode function?,4
What happens when the left turn light is turned on?,The green indicator light will be lit up.
What is displayed when the high-beam light is turned on?,The icon will be lit up.
What is the purpose of the work indicator light?,To indicate when the front/rear work lights are turned on.
What is displayed on the engine speed dial plate?,The current engine speed.
What is the function of the machine traveling speed display?,To display the current vehicle speed.
What is displayed by the fuel level indicator?,The current fuel volume.
What is displayed on the coolant temperature indicator?,The current coolant temperature.
What is displayed on the DEF level indicator?,The current DEF level.
What types of gears are displayed on the gear information display?,"Gears F/N/R, including F1, F2, F3, F4, N, R1, R2, and R3."
How do you enter the information query interface on the main interface of the SW405K1 Wheeled Loader?,Press the key F1.
What types of information can be queried through the information query interface?,"Engine information, EA T information, Transmission information, Hydraulic information, Control port information, and Maintenance information."
What information is displayed on the engine information interface?,"Engine speed, Engine speed set point, Foot pedal position, Fuel injection, Instant fuel consumption, Torque output, Ambient temperature, Coolant temperature, Coolant level, Oil pressure, and Charging voltage."
How many items of information are displayed on the engine information interface?,11.
What is the purpose of the engine information interface?,To display operating parameters of the engine.
What information is displayed in the EAT information interface?,"The EAT information interface includes DEF level, Temperature at mixing pipe, DEF temperature, DEF level warning, DEF quality warning, Anti-tampering warning, and DPF prohibition regeneration warning."
What is the purpose of the Transmission Information section?,To display relevant parameter information of the torque converter.
What information is displayed in the Transmission Information section?,"The Transmission Information section includes current vehicle speed, engine speed, transmission fluid temperature, converter outlet temperature, power output cutoff, FNR information, and gear information."
What is included in the Aftertreatment information interface?,"The Aftertreatment information interface includes current vehicle speed, engine speed, transmission fluid temperature, converter outlet temperature, power output cutoff, FNR information, and gear information."
What is the difference between the EAT information interface and the Transmission Information section?,"The EAT information interface displays information related to DEF and DPF, while the Transmission Information section displays information related to the torque converter."
What is included in the hydraulic information interface of the SW405K1 Wheeled Loader?,"The hydraulic information interface includes handle gear information, handle key information, hydraulic oil temperature, fan direction, operating amplitude and current value of boom down handle, operating amplitude and current value of boom up handle, operating amplitude and current value of bucket up handle, operating amplitude and current value of bucket down handle, and fan current."
What is displayed in the control port information of the SW405K1 Wheeled Loader?,The control port information displays the electric port information of the vehicle.
What contents are included in the electric information interface of the SW405K1 Wheeled Loader?,"The electric information interface includes port input/output information of power supply management module, port input/output information of IO module, and key simulation diagram of key panel."
How many items of information are included in the hydraulic information interface of the SW405K1 Wheeled Loader?,There are 9 items of information included in the hydraulic information interface.
What is one of the items of information displayed in the hydraulic information interface of the SW405K1 Wheeled Loader?,One of the items of information displayed is the operating amplitude and current value of the boom down handle.
What is displayed in the electric port of the vehicle?,"Information of maintenance contents, number of relevant maintenance parts, maintenance cycle and working hours after previous maintenance."
What is included in the maintenance items for the SW405K1 Wheeled Loader?,"13 items including Engine oil filter, Diesel oil filter, Air filter element, and others."
What is item 1 in the maintenance items list?,Engine oil filter.
How many items are in the maintenance items list?,13.
Is Breather valve filter element one of the maintenance items?,"Yes, it is item 8."
Is Engine oil one of the maintenance items?,"Yes, it is item 9."
How do you enter the system setting interface on the SW405K1 Wheeled Loader?,"On the main interface, press the key F2."
What are some of the contents available in the Engine Information interface?,"Contents include Language change, Program version, Calibration of handle current characteristic curve, and Setting of emergency steering function (optional)."
How many language options are available in the Language Change interface?,There are 2 language options: Chinese System and English System.
How do you confirm and exit the language selection after choosing a language?,Press the key Return directly.
What information is included in the program version information list?,The program version information list includes program version and release date.
What settings are included in the handle current characteristic curve?,"The settings include current curve when booming up with the handle, current curve when booming down with the handle, current curve when bucket in with the handle, and current curve when bucket out with the handle."
What are the options for emergency steering?,The options are to turn on emergency steering function or turn off emergency steering function.
Is emergency steering a standard function of the machine?,"No, emergency steering is an optional function upon delivery."
What is the purpose of the fault information list in the SW405K1 Wheeled Loader?,The fault information list allows the user to select different items and enter different interfaces to view various types of fault information.
What are the classifications of fault information in the SW405K1 Wheeled Loader?,"The fault information is classified into 4 categories: 1. Vehicle fault information, 2. Engine fault information, 3. Transmission fault information, and 4. Diagnostic information interface."
What type of information is displayed in the vehicle fault information interface?,The vehicle fault information interface displays information on fuse on-off and short-circuit or open-circuit protection of port output.
What type of information is displayed in the engine fault information interface?,"The engine fault information interface displays engine fault codes, specifically SPN or FMI."
What type of information is displayed in the transmission fault information interface?,"The transmission fault information interface displays transmission fault codes, specifically SPN or FMI."
What is required to access the diagnostic information interface?,A password is required to access the diagnostic information interface.
Who is the diagnostic information interface available to?,The diagnostic information interface is available only to adjustment personnel.
How is the input of the password controlled in the diagnostic information interface?,The input of the password is controlled with the +/ - buttons below the screen.
"What is the purpose of the ""Calibration screen"" in the Mechanical Parameters and Setting section?",To calibrate some functions of the complete vehicle.
What specific parameters can be calibrated using the Calibration Interface?,"1. Position limit calibration, 2. Foot pedal, 3. Bucket down to horizontal, 4. Transmission calibration, 5. Ride control system."
What is the purpose of the Boom Position Limit Calibration interface?,To calibrate the boom height limit.
What information is displayed in the Boom Position Limit Calibration interface?,"1. Current boom height, 2. Boom height limit."
How is the position limit calibration method initiated?,"By triggering the ""boom position limit"" pilot switch on the keys panel when the engine is in ready state."
What action is required to calibrate the boom position limit after lifting the boom to the target limit height?,Pressing the KD key.
What is the purpose of calibrating the foot pedal on the SW405K1 Wheeled Loader?,To calibrate the analog output voltage value of the foot pedal.
What information is displayed on the calibration interface for the foot pedal?,"Engine speed after foot pedal is pushed down, highest voltage of foot pedal, lowest voltage of foot pedal, and curvity coefficient."
How do you increase or decrease the set value during foot pedal calibration?,Using the +/- key on the displayer.
What is the purpose of the bucket level calibration on the SW405K1 Wheeled Loader?,To calibrate the boom and the bucket with level function.
What information is displayed on the interface for bucket level calibration?,"Boom angle, bucket angle, boom down speed, current calibration step, and calibration method."
How do you perform the 0° calibration of the bucket?,"Trigger the pilot switch of “boom position limiting” on the key panel, engage the engine in ready mode, adjust to the lowest boom position, bucket at horizontal position, and press the KD key to calibrate."
How do you restrict the bucket leveling interval during calibration?,Operate the boom to the upper limit of leveling interval and press the KD key to calibrate.
What happens when the boom reaches the lowest position during posture recording?,The calibration will stop automatically.
What is the section number of the Transmission Calibration in the Service Manual?,4.2.5.5
What are the two temperatures that need to be calibrated in the transmission calibration interface?,Hydraulic oil temperature (CO) and Torque converter temperature (TM)
How do you start the calibration process?,"Select ""Start calibration"" and press button √"
What should you do with the accelerator pedal during the calibration process?,Push the pedal continuously and push the pedal by 10S each time at the interval of 1s
What should you do if the hydraulic oil temperature (CO) exceeds 110 ℃ during the calibration process?,Stop immediately
What is the condition to repeat the calibration process after stopping?,When CO declines to be below 90 ℃
What is the condition to complete the calibration process?,When TM rises up to 70 ℃
What is the maximum outlet temperature of the torque converter during the heating command?,120 ℃
What is the condition to finish the control calibration?,When the hydraulic oil temperature reaches 70℃
What is the default value of the vehicle speed high limit for ride control calibration?,4km/h
What happens to the ride control when the vehicle speed exceeds the high limit value?,The ride control will be triggered.
What is the default value of the vehicle speed low limit for ride control calibration?,2.5km/h
What happens to the ride control when the vehicle speed declines to the low limit value?,The ride control will be turned off.
How can the set values for vehicle speed high and low limits be adjusted?,Using the keys -/+ at the bottom of the displayer screen.
What are the parameters that can be calibrated in the operation interface?,"Change fan, Standstill regeneration, Quick change power, and Mode P/E mode."
What are the two possible directions for changing the fan direction?,Clockwise and Counterclockwise.
What is the default state of the fan direction?,Clockwise.
When is the counterclockwise rotation of the fan used?,When cleaning the radiator.
What is the purpose of standstill regeneration on the SW405K1 Wheeled Loader?,It is used to regenerate the tail emission of the engine.
What does it mean when the aftertreatment warning indicator light on the standstill regeneration interface turns red?,It indicates that the regeneration should be released.
How does the user know that the regeneration has been released successfully during standstill regeneration?,When the aftertreatment warning indicator light turns from red to green.
What is the purpose of Quick Change Power Supply?,To supply power to quick-change operations.
What is the default state of the Quick Change Power Supply?,Off.
What is Mode P/E switching used for?,Engine power curve.
What mode does Mode P/E switching default to?,Mode P (POWER mode).
What is Mode P and Mode E in the context of Mode P/E switching?,"Mode P indicates POWER mode, and mode E indicates ECONOMIC mode."
What functions can Key 1 perform on the SW405K1 Wheeled Loader?,"Key 1 can control left turn light, right turn light, position light, low-beam light, high-beam light, front working light, front wiper speed and reset, and front window washer."
What functions can Key 1's F4 perform?,Key 1's F4 can control the front working light.
What are the functions of Key 1's F5?,"Key 1's F5 can control low speed, high speed, and reset of front wiper."
What function does Key 2's F2 perform?,Key 2's F2 is for hydraulic pilot lock.
What functions can Key 2's F7 perform?,"Key 2's F7 can control low speed, high speed, and reset of rear wiper, but more likely Key 2's F7 controls boom damping switch according to text, because key 2 has the similar description at key 1 that function corresponds F7 key but instead front key uses  key [F1-F5 and rear[F7 F8"
What is the function of the Starting Switch on the SW405K1 Wheeled Loader?,To start or stop the engine.
What happens when the Starting Switch is in the OFF position?,"The switches of the electrical system (except for outside light) will be turned off, the engine will be switched off, and it is allowed to insert or pull out the key."
What happens when the Starting Switch is in the ON position?,The current will flow through the charging and light circuits.
What is the purpose of the START position on the Starting Switch?,"This is the starting position of the engine, and the key should be released immediately after starting the engine."
What happens when the key is released after starting the engine?,The Starting Switch will return to the ON position automatically.
What is the function of the HEAT position on the Starting Switch?,"This is the engine heating position, and the engine will be heated when the key is turned counterclockwise to this position and held there."
What happens when the key is released after heating the engine?,The Starting Switch will return to the OFF position and the engine heating will stop.
What should be done if the engine fails to start continuously for 3 times?,Wait for 2 minutes before re-starting.
How many modes does the transmission of the SW405K1 Wheeled Loader have?,"4 modes: L, H, AUTO, and Manual."
What does the AUTO mode indicate?,Fully automatic shifting mode.
What does the Manual mode indicate?,"Manual shifting mode, where gears will be shifted with the control handle."
What is Mode L used for?,Gear shifting at low engine speed and low vehicle speed.
What is Mode H used for?,Gear shifting after reaching relatively high engine speed and vehicle speed.
What happens when the left/right turn lights key is pressed for a short time?,"The turn lights will be turned on and off, and the red indicator light will operate correspondingly."
What lights will be lit up when the left/right turn lights key is pressed for a short time?,"Small yellow lights on the bracket on the left/right sides of the front frame, and the yellow lights on both sides of the engine hood."
What happens when the key F3 is pressed once for a short time?,"The indicator light on the position A will be lit up, the green indicator light on the parking brake switch will be lit up, the indicator light below outer turn lights will be lit up, and the red light of the rear position lamp on engine hood will be lit up."
What happens when the key F3 is pressed again for a short time?,"The indicator light on the position B will be lit up, and the front headlights (low beam light) on the frame will be lit up."
What happens when the key F3 is pressed three times for a short time?,"The light on the position C will be lit up, and the low-beam light on front frame will change over to high-beam light."
What happens to the low-beam light if the key F3 is pressed again for a short time?,The low-beam light will turn on.
What happens to the position lamp and high-beam lamp/low-beam lamp if the key F3 is pressed for 2-3 seconds?,They will go out.
What happens when the key F4 is pressed once for a short time?,The working lights on both sides of the cab will be lit up and the indicator light at position D will be lit up.
What happens when the key F4 is pressed for a long time?,The lights will go out after 2-3s.
What happens when the key F4 is pressed twice for a short time?,"Front/rear external working lights of the cab and tail lights on end hood will be lit up, and the indicator lamp on position E will be lit up."
What happens when the key F5 is pressed once for a short time?,The front wiper will swing at low speed.
What happens when the key F5 is pressed for a long time?,The front wiper will stop moving.
What happens when the key F5 is pressed continuously twice for a short time?,The front wiper will swing at high speed.
What happens when the key F6 is pressed for a long time?,The front wiper will spray water.
What happens when the key F7 is pressed once for a short time?,The rear wiper will swing at low speed.
What happens when the key F7 is pressed for a long time?,The rear wiper will stop moving.
What happens when the key F7 is pressed continuously twice for a short time?,The rear wiper will swing at high speed.
What happens when the key F8 is pressed for a long time?,The rear wiper will spray water.
What is the function of pressing the key F1 for a short time?,To shift the gear shifting authority.
What happens when the left side of the key F1 is lit up?,The forward and reverse buttons on the control handle will not work.
How can gear shifting be realized when the left side of the key F1 is lit up?,Only with the shift lever below the steering gear.
What happens when the indicator light at R position of the key F1 is lit up?,The keys F and R of the control handle will work.
What is the priority of the shift lever when the indicator light at R position of the key F1 is lit up?,The priority of the shift lever below the steering gear is still higher than the control handle.
What is the function of the key F2?,Hydraulic pilot lock.
What happens when the indicator light is lit up after the key F2 is pressed?,The working device may work.
What happens when the light goes out after the key F2 is pressed?,The working device could not work.
What happens when the key F4 is pressed for a short time?,The warning light on the top of the cab will send out warning noise and yellow light will flash.
How can the limit switch of the boom be turned on and off?,By pressing the key F5 for a short time.
What happens to the bucket position limit when the key F5 is pressed for a short time?,The bucket position limit will be canceled.
How can the automatic switch of bucket be turned on and off?,By pressing the key F6.
"What happens when the handle is used to retract the bucket and is released after being moved to the left end, and the automatic switch of bucket is turned on?",The bucket will be placed on horizontal position automatically if the bucket is on the unloading position.
"What happens when the handle is pushed to the right end and then released, and the automatic switch of bucket is turned on, and the bucket is on retracting position?",The bucket will move from retracting position to leveling position automatically.
How can the boom damping switch be turned on and off?,By pressing the key F7 for a short time.
What happens when the power cutoff is turned on and the brake pedal is pressed while in forward or reverse gear?,"The gear will shift to neutral gear, and will return when the pedal is released."
What is the purpose of the cigar lighter switch?,To light up a cigar.
What happens to the cigar lighter when it is pushed in?,It will return to its original position after several seconds.
Can the cigar lighter socket be used as a power supply?,"Yes, with power no more than 240W (24V x 10A)."
What is the voltage of the cigar lighter?,24V.
Can the cigar lighter be used to power 12V equipment?,No.
What is the purpose of the 12V charger socket?,To charge a mobile phone.
Where is the parking brake key located?,On the right window of the cab.
What happens when the parking brake key is pressed?,The parking brake icon P will appear on the screen.
What is the purpose of the quick-changing key?,"To use the quick-changing function, which requires turning on the quick-changing power supply in the operating interface of the screen."
What is the purpose of the diagnosis button?,"To light up the diagnosis light, which will flash when pressed."
What is the purpose of Key F5?,To stop the engine under emergency.
Where is the wiper reservoir located on the SW405K1 Wheeled Loader?,On the left column of the rear frame.
What is the purpose of the wiper reservoir on the SW405K1 Wheeled Loader?,To clean the front/rear wipers.
Where is the inner light located in the cab of the SW405K1 Wheeled Loader?,Above the seat.
How can the inner light be turned on or off?,By moving the switch.
Can the inner light be turned on even when the starting switch is in the OFF position?,Yes.
What is the purpose of the safety hammer in the SW405K1 Wheeled Loader?,To scrape the rear window as an emergency exit.
Is it allowed to use the safety hammer at any time?,"No, only under emergency situations."
Why is it necessary to read the label of the fire extinguisher?,To acknowledge the use method under emergency.
How often should the fire extinguisher be inspected?,Periodically.
What should be done when the quality warranty period of the fire extinguisher expires?,It should be replaced timely.
Where is the fire extinguisher equipped in the SW405K1 Wheeled Loader?,In the rear section of the cab.
What is the function of the front part of the operating handle?,Boom down
What is the function of the left part of the operating handle?,Bucket down
What is the function of the right part of the operating handle?,Bucket unloading
What is the function of the F/N/R keys on the control handle?,"Indicate forward gear, neutral gear, and reverse gear"
What is the function of the KD key on the control handle?,Forced downshifting
How can the forced downshifting function be released?,By pressing the forced downshifting function key again
What happens when the KD key is pressed while in forward gear 2 or reverse gear 2?,The transmission gear may be shifted automatically to forward gear 1 or reverse gear 1
What is the benefit of combining forced downshifting function and direct reversing function during the shoveling and loading process?,"It becomes very convenient to shift the gears frequently for the loader, improving working efficiency."
Where is the differential lock located?,On the left side of the left brake pedal.
What is the purpose of the differential lock?,For use on wet or snowy roads.
How does the differential lock work?,It works if it is pressed for a long time and stops working if it is released.
How is the traveling direction changed on the SW405K1 Wheeled Loader?,By turning the control handle of the transmission.
Where should the fire extinguisher be equipped in the cab?,On the upper part of the left middle column.
How often should the fire extinguisher be inspected?,Periodically.
What should be done if the quality warranty period of the fire extinguisher expires?,It should be replaced timely.
How many storage batteries are equipped in the loader?,2.
How are the storage batteries connected?,In series.
What is the function of the storage battery?,"To supply power to the electrical equipment, and to supply starting current to the starting motor."
What happens to the electrical components if the storage battery is not able to absorb overvoltage?,They may be penetrated.
What should be done when two or more storage batteries are connected?,They should not be different types or different brands.
What is necessary to start the loader when the ambient temperature is lower than -15℃?,The assistance of a cold start auxiliary device.
How can the energy state of the storage battery be learned about?,From the variation of the electric eye color.
What should you do when maintaining and repairing the storage battery daily?,Please read the instructions on the storage battery.
What can happen if the battery cables are not connected properly?,"It might cause explosion, resulting in personal injuries."
Can storage batteries of different types or brands be connected together?,"No, they shall not be different types or different brands."
What type of protection should be worn when working with the battery?,Protective goggles.
Why should you keep away from sparks and open flames when working with the battery?,The explosive gas will cause blindness or injuries.
What should you do if you touch sulfuric acid from the battery by mistake?,Wash immediately with clean water and go to a doctor as soon as possible.
Why should children be kept away from the battery?,The battery contains sulfuric acid which may cause blindness or serious burns.
How should the storage battery be installed?,It must be installed firmly and reliably to protect it from being damaged by vibration during traveling.
What should you do if the fuse is blown frequently or there are signs of short circuit on the electric wires?,Please contact with the authorized dealer of SANY Heavy Machinery immediately for finding the causes and repairing.
Why is it necessary to keep the upper surface of the storage battery clean?,To inspect the vent holes on the storage battery cover.
What should you do if the vent hole on the storage battery cover is blocked by dirt or dust?,Wash the battery cover to clean the vent hole.
What should be inspected on the electric wires?,"Whether the fuse has been damaged, whether the fuse of specified capacity is used, whether there are traces of short circuit or open circuit, and whether the wire cladding is damaged."
What should be done if the terminals become loose?,Tighten them.
Where is the negative electrode switch installed?,On the left side of the storage battery.
What does the negative electrode switch control?,The on-off of the power supply for the complete vehicle.
What should be done before starting the engine?,Turn the negative electrode switch to the position ON.
Why should you wait 2 minutes after stopping the engine before turning off the negative electrode switch?,To prevent the aftertreatment system from being damaged.
Where is the Reversing Alarm installed on the SW405K1 Wheeled Loader?,On the bracket in the rear window of the rear engine hood.
What happens when selecting reversing gear with the control handle of the transmission?,The reversing alarm will be triggered and send out a Beep noise.
What are the two modules mentioned in the Electric Control Box?,Epower and Emini.
What is the specification of Connector A in the Electric Control Box?,Deutsch DTM06-12SA.
What is the specification of Connector B in the Electric Control Box?,Deutsch DTM06-12SA.
What is the function of the IO module in the Electric Control Box?,Not specified in the text.
What is the composition of the EPower Module?,It is composed of fuse and relay.
How many ports does the EPower Module have?,6 ports.
What is the model and specification of the connector for port 1?,Delphi GT280 series 14pin 15326917.
What is the composition of the VCE Box?,It is composed of fuse and relay.
Are the compositions of the EPower Module and VCE Box the same?,Yes.
How many different specifications of Delphi GT280 series connectors are listed?,"4 (15326917, 15326654, 15326660, and 15326666, and 15326910, note: 15326654 is listed twice)"
What is the structure of the Wiper Motor in the SW405K1 Wheeled Loader?,"The structure includes Body, Armature (rectifier, winding and iron core), Reducer worm gear, Reducer worm rod Rod A, Permanent magnet, Low-speed carbon brush, High-speed carbon brush, and other components."
What is the automatic reset principle of the wiper?,"The automatic reset principle involves the Slip ring of automatic re setter, Contact of automatic re setter, and Linkage rod."
What is the purpose of the Reducer worm gear in the Wiper Motor?,"The text does not specify the purpose, but it is mentioned as a component of the Wiper Motor Structure."
What is the direction of the explosion view of the Permanent Magnet Type Electric Windshield Wiper Body?,Direction A.
